id,category
1902,1.0
2896,0.0
2509,0.0
4037,1.0
3660,1.0
9050,1.0
2259,0.0
9242,0.0
27,1.0
4114,1.0
1441,1.0
2542,0.0
4257,1.0
2261,1.0
2456,0.0
588,0.0
5153,1.0
4025,1.0
3487,0.0
3811,1.0
434,1.0
1788,0.0
707,1.0
641,1.0
8079,1.0
9136,1.0
8053,0.0
4580,0.0
7074,0.0
3131,1.0
9177,1.0
2613,0.0
4438,0.0
4409,0.0
4034,1.0
3172,1.0
3004,1.0
3242,1.0
1009,1.0
1554,0.0
4345,1.0
4570,1.0
769,1.0
3789,1.0
2231,1.0
1449,1.0
1290,1.0
3143,1.0
3647,1.0
4045,1.0
9241,1.0
3929,1.0
290,1.0
3277,1.0
1786,1.0
2338,1.0
4503,0.0
1247,0.0
2347,1.0
1497,0.0
5075,1.0
3614,1.0
2502,1.0
1670,1.0
4061,1.0
4698,0.0
1109,0.0
2930,1.0
3186,1.0
2435,1.0
5116,0.0
2685,0.0
2548,0.0
4418,1.0
9174,1.0
632,0.0
7047,1.0
2406,1.0
4133,1.0
278,1.0
3291,0.0
2581,0.0
340,0.0
1742,1.0
4635,0.0
685,1.0
9005,1.0
4685,0.0
5166,1.0
2272,1.0
2093,0.0
3200,1.0
138,1.0
1062,1.0
2417,1.0
9252,0.0
1955,1.0
1737,0.0
4121,1.0
9204,1.0
3618,1.0
522,1.0
125,1.0
5027,0.0
5226,0.0
4470,0.0
1476,1.0
2715,0.0
7002,1.0
4038,1.0
4421,0.0
4087,0.0
9181,1.0
3478,0.0
4283,1.0
3671,1.0
4430,0.0
2932,1.0
1971,1.0
2588,0.0
421,1.0
2461,0.0
2412,1.0
54,1.0
2122,1.0
3109,0.0
945,1.0
3752,1.0
728,1.0
2208,0.0
4475,0.0
1626,0.0
2017,0.0
2645,1.0
2192,0.0
928,1.0
961,1.0
2051,0.0
1460,0.0
3579,1.0
2855,1.0
9197,1.0
1908,0.0
3030,1.0
2861,1.0
246,0.0
4099,0.0
4527,1.0
4027,1.0
498,1.0
3493,0.0
3935,1.0
8062,1.0
3926,1.0
8031,0.0
3729,1.0
9180,1.0
2082,1.0
1439,1.0
476,1.0
9089,1.0
4125,1.0
4272,0.0
4391,0.0
1882,1.0
1762,1.0
1823,1.0
2858,1.0
2055,1.0
2535,1.0
1776,0.0
296,1.0
4453,0.0
424,1.0
1155,1.0
4498,0.0
3595,1.0
605,1.0
47,1.0
953,0.0
4019,1.0
7051,1.0
514,1.0
4101,1.0
9104,1.0
4526,0.0
60,1.0
3677,1.0
1991,1.0
5168,1.0
5205,1.0
619,1.0
727,1.0
3899,0.0
4731,0.0
7004,0.0
2364,0.0
511,1.0
288,0.0
1586,1.0
118,1.0
9275,1.0
820,1.0
1171,0.0
1892,1.0
2734,0.0
8016,0.0
263,0.0
4436,0.0
4657,0.0
283,0.0
233,0.0
4327,1.0
1032,1.0
4085,1.0
1681,1.0
4118,1.0
7036,0.0
5269,0.0
4289,1.0
5121,0.0
5167,1.0
2547,0.0
5051,0.0
7,0.0
3215,0.0
3598,1.0
25,1.0
923,1.0
184,1.0
2095,1.0
4204,0.0
548,1.0
2531,0.0
1200,0.0
2837,1.0
1809,0.0
2525,1.0
3848,1.0
1278,1.0
783,1.0
7090,0.0
2706,1.0
4738,1.0
3927,1.0
3657,1.0
1988,1.0
3515,0.0
1859,1.0
342,0.0
926,1.0
3908,1.0
217,0.0
1435,1.0
3327,1.0
2679,0.0
2878,1.0
2700,1.0
1654,1.0
7000,1.0
2783,1.0
3933,1.0
3079,1.0
3774,1.0
3603,1.0
452,1.0
2470,0.0
1274,1.0
170,1.0
2597,0.0
9014,1.0
592,1.0
3636,1.0
2150,0.0
3917,1.0
2455,1.0
3566,1.0
9065,1.0
4639,1.0
3463,0.0
2697,0.0
9067,0.0
3238,1.0
203,1.0
4423,0.0
467,1.0
5230,0.0
900,1.0
430,1.0
2211,1.0
521,1.0
3227,1.0
1091,1.0
549,1.0
5155,0.0
9225,1.0
841,1.0
5063,0.0
4119,1.0
31,1.0
2504,0.0
1478,1.0
634,1.0
3794,1.0
9203,1.0
3311,1.0
1433,1.0
4542,1.0
539,1.0
2497,1.0
3645,1.0
1028,1.0
281,0.0
2352,1.0
3656,1.0
3257,1.0
3432,0.0
4683,1.0
1040,1.0
2572,1.0
2324,1.0
1214,0.0
1137,1.0
556,1.0
3862,1.0
5011,0.0
157,1.0
3163,0.0
9217,0.0
3514,1.0
2847,0.0
33,1.0
671,1.0
171,1.0
1641,1.0
1953,1.0
4619,0.0
2438,0.0
4333,1.0
2014,1.0
2264,0.0
5190,1.0
3119,0.0
3494,0.0
4479,0.0
3821,1.0
1705,1.0
2708,1.0
7032,1.0
500,1.0
1143,0.0
441,1.0
8056,0.0
1544,1.0
1252,0.0
1012,1.0
1917,1.0
9023,0.0
1745,1.0
2840,0.0
42,1.0
1052,0.0
1912,1.0
2913,1.0
941,1.0
4608,0.0
1162,0.0
651,0.0
3921,1.0
267,1.0
1361,0.0
1116,0.0
2941,1.0
2207,0.0
531,1.0
2817,0.0
3258,0.0
2042,0.0
4401,0.0
4150,1.0
5104,0.0
2944,1.0
806,1.0
2683,0.0
1799,0.0
2798,0.0
2163,0.0
3874,1.0
3819,0.0
3567,1.0
1895,0.0
889,1.0
702,1.0
426,1.0
1211,0.0
773,1.0
5017,0.0
856,1.0
410,1.0
2083,0.0
1420,1.0
192,1.0
2728,1.0
1049,1.0
2071,0.0
1086,1.0
5243,1.0
3787,1.0
7050,0.0
2506,1.0
3669,1.0
2629,0.0
5244,1.0
3554,1.0
2165,0.0
164,0.0
2198,0.0
2196,0.0
817,1.0
9001,1.0
2744,0.0
1088,0.0
4704,0.0
2541,0.0
2075,1.0
